IDENT_NUMVEH,IDENT_MEN,NUM_VEH,pond_veh,cylindree_fin,critair,ANNEE_1mec,age,KVKM1ANV,KVCONS,energie_groupe,Pro_Perso,NEWTYPMEN,AGEPR,decile_rev,CSMEN,REG_res,STATUTCOM_UU_RES,pop_10min_voiture_train_res,DIPDETPR,NENFHORS
110000036500002,1100000365000,2,2021.0565974,,1,2019,1.0,1000.0,8.5,VT,Perso,Couple avec au moins un enfant,32,10,38.0,Ile-de-France,B,100,14.0,0
110000036500001,1100000365000,1,2021.0565974,1.2,1,2018,12.0,10983.4763,8.0,VT,Perso,Couple avec au moins un enfant,32,10,38.0,Ile-de-France,B,100,14.0,0
110000041300002,1100000413000,2,2468.9993288,1.5,3,2006,147.0,4603.429018,6.0,VT,Perso,Couple avec au moins un enfant,49,10,46.0,Ile-de-France,B,100,32.0,1
110000041300001,1100000413000,1,2468.9993288,2.2,4,2003,177.0,8211.9986264,7.0,VT,Perso,Couple avec au moins un enfant,49,10,46.0,Ile-de-France,B,100,32.0,1
110000042400001,1100000424000,1,1927.0461462,1.2,2,2006,139.0,4699.5232154,7.0,VT,Perso,Personne seule,79,6,22.0,Ile-de-France,B,100,22.0,3
110000042500001,1100000425000,1,1620.7270647,1.5,3,2007,136.0,6439.6428571,5.2,VT,Perso,Couple avec au moins un enfant,32,9,37.0,Ile-de-France,B,100,17.0,0
110000042500002,1100000425000,2,1620.7270647,2.0,3,2010,98.0,8236.3825533,7.3,VT,Perso,Couple avec au moins un enfant,32,9,37.0,Ile-de-France,B,100,17.0,0
110000042600002,1100000426000,2,4655.8267848,1.6,3,2000,213.0,8504.4492407,8.5,VT,Perso,Couple avec au moins un enfant,44,9,22.0,Ile-de-France,C,100,22.0,0
110000042600001,1100000426000,1,4655.8267848,1.4,3,2008,119.0,19920.148123,5.5,VT,Pro,Couple avec au moins un enfant,44,9,22.0,Ile-de-France,C,100,22.0,0
110000043500002,1100000435000,2,1720.2676441,,,.,,30000.0,4.5,Autres,Perso,Couple avec au moins un enfant,40,8,43.0,Ile-de-France,B,100,34.0,0
110000043500001,1100000435000,1,1720.2676441,1.6,3,2008,119.0,12715.84651,4.5,VT,Perso,Couple avec au moins un enfant,40,8,43.0,Ile-de-France,B,100,34.0,0
110000046500001,1100000465000,1,2200.2499188,1.1,2,2006,150.0,5887.9107109,6.0,VT,Perso,Couple sans enfant,63,7,37.0,Ile-de-France,B,100,14.0,2
110000046500002,1100000465000,2,2200.2499188,1.2,1,2016,30.0,11024.623154,6.0,VT,Perso,Couple sans enfant,63,7,37.0,Ile-de-France,B,100,14.0,2
110000052600001,1100000526000,1,1946.4649485,1.2,1,2014,48.0,2876.6287408,4.0,VT,Perso,Couple sans enfant,80,5,48.0,Ile-de-France,C,100,45.0,4
110000052700001,1100000527000,1,1989.7464075,0.0,N,1995,273.0,3868.8749159,7.5,VT,Perso,Couple avec au moins un enfant,53,10,37.0,Ile-de-France,C,100,14.0,2
110000053400001,1100000534000,1,2092.8559807,1.2,1,2017,10.0,11007.145983,5.8,VT,Perso,Couple sans enfant,80,10,46.0,Ile-de-France,B,100,22.0,2
110000053500002,1100000535000,2,1074.2196825,1.5,3,2007,135.0,1793.4567901,5.0,VT,Perso,Couple sans enfant,81,6,38.0,Ile-de-France,B,100,70.0,1
110000053500001,1100000535000,1,1074.2196825,1.4,3,2005,163.0,2656.4174894,4.5,VT,Perso,Couple sans enfant,81,6,38.0,Ile-de-France,B,100,70.0,1
110000053800001,1100000538000,1,2158.0289997,1.2,1,2013,60.0,11273.02244,7.5,VT,Perso,Couple avec au moins un enfant,42,8,53.0,Ile-de-France,C,100,60.0,0
110000054600001,1100000546000,1,4468.3391738,1.6,1,2017,12.0,9778.9001245,7.0,VT,Perso,Famille monoparentale,36,10,31.0,Ile-de-France,C,100,35.0,0
110000055300001,1100000553000,1,5337.9916213,1.5,2,2014,58.0,13109.818528,5.2,VT,Perso,Couple sans enfant,23,4,46.0,Ile-de-France,B,100,15.0,0
110000056400001,1100000564000,1,2248.2198017,2.2,3,2010,108.0,8490.1339947,12.0,VT,Perso,Personne seule,79,6,38.0,Ile-de-France,B,100,14.0,0
110000056500001,1100000565000,1,3018.8035917,1.6,2,2014,61.0,5448.3507256,5.4,VT,Perso,Couple sans enfant,64,8,22.0,Ile-de-France,B,100,51.0,3
110000056500003,1100000565000,3,3018.8035917,2.3,2,2018,12.0,8247.3079059,10.0,VT,Perso,Couple sans enfant,64,8,22.0,Ile-de-France,B,100,51.0,3
110000056500002,1100000565000,2,3018.8035917,1.6,2,2012,79.0,13776.203315,9.0,VT,Perso,Couple sans enfant,64,8,22.0,Ile-de-France,B,100,51.0,3
110000063400001,1100000634000,1,2041.7270456,1.4,2,2009,115.0,3096.4166667,9.0,VT,Perso,Couple sans enfant,79,10,42.0,Ile-de-France,B,100,45.0,2
110000063500002,1100000635000,2,1061.1235835,1.2,2,2009,117.0,9063.0124561,6.8,VT,Perso,Couple sans enfant,63,10,47.0,Ile-de-France,B,100,14.0,2
110000063500001,1100000635000,1,1061.1235835,2.0,3,2009,106.0,14095.877944,5.5,VT,Perso,Couple sans enfant,63,10,47.0,Ile-de-France,B,100,14.0,2
110000064400001,1100000644000,1,3854.0777641,1.7,2,2018,9.0,16499.463352,7.0,VT,Perso,Personne seule,73,9,31.0,Ile-de-France,B,100,24.0,0
110000064500002,1100000645000,2,935.72133991,1.3,3,2002,194.0,19209.177149,8.0,VT,Perso,Menage complexe,43,5,56.0,Ile-de-France,B,100,44.0,0
110000064500001,1100000645000,1,935.72133991,0.0,4,2002,197.0,6934.1356338,8.0,VT,Perso,Menage complexe,43,5,56.0,Ile-de-France,B,100,44.0,0
110000064600001,1100000646000,1,2531.157056,1.4,1,2012,77.0,21183.994254,5.5,VT,Perso,Couple avec au moins un enfant,38,9,34.0,Ile-de-France,C,100,22.0,0
110000065400001,1100000654000,1,2964.2422083,1.2,1,2018,11.0,10983.4763,6.5,VT,Perso,Couple sans enfant,75,6,64.0,Ile-de-France,B,100,70.0,2
110000065500001,1100000655000,1,1688.2432181,1.1,1,2014,60.0,12238.845336,6.0,VT,Perso,Couple avec au moins un enfant,42,9,55.0,Ile-de-France,B,100,32.0,0
